,text,label
0,"Sunday afternoon walking through Venice in the sun with @user ️ ️ ️ @ Abbot Kinney, Venice",12
1,"Time for some BBQ and whiskey libations. Chomp, belch, chomp! (@ Lucille's Smokehouse Bar-B-Que)",19
2,Love love love all these people ️ ️ ️ #friends #bff #celebrate #blessed #sundayfunday @ San…,0
3,"️ ️ ️ ️ @ Toys""R""Us",0
4,Man these are the funniest kids ever!! That face! #HappyBirthdayBubb @ FLIPnOUT Xtreme,2
5,"#sandiego @ San Diego, California",11
6,My little ️ ️ ️ ️ ️ #ObsessedWithMyDog @ Cafe Solstice Capitol Hill,0
7,"More #tinyepic things #tinyepicwestern, this one is crazy @user I may be one of your…",19
8,Last night ️ @ Omnia Night Club At Caesars Palace,0
9,friendship at its finest. ....#pixar #toystory #buzz #woody #friends #friendship #bff…,7
10,I L VE working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…,1
11,Dem shoes tho! Lol! ...I'm getting some! Get ready copleypriceymca…,2
12,"I love weekends with you, calebrancourt @ Cannery Row At Monterey Bay, CA",9
13,"Yesss! August is full of love and birthdays ️ @ Los Angeles,…",0
14,I took a pic with Eminem! *still not over that performance vibe from #parrisproject!…,1
15,I L VE working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…,1
16,Sundays are all about the cute babies and dogs! #Ballard #sundaymarket #littelestmodel…,1
17,it was too hot .. trying to find shade behind @user at the roadraceengineering booth…,4
18,"Sometimes you just have to be a kid Skyspace, Los Angeles. #CRStylesTravel #FunDay #LALife…",19
19,"had an amazing night, with some pretty amazing people @ Pandora Summer",8
20,Thank you @user for an incredible night last night @ Shrine Auditorium &amp; Expo Hall,7
21,thanks for the amazing night @ Pandora Summer,8
22,@user draw the line ~,5
23,This is why I hate when Taylor visits #Bunny #NotCaturday @ Our House,2
24,"thank you to my boys for performing so well last night, I love you all very much @ Pandora…",8
25,2nd theater and 3rd movie of the day a new record #badmoms #suicidesquad #sausageparty (at @user,2
26,"In honor of #happygayunclesday ️ #happygunclesday #guncle #guncles @ Chula Vista, California",0
27,"I think it's nap time for us @ Los Angeles, California",1
28,I L VE working for a cause! Yesterday's balloon decor for SNN 11th Annual Back 2 School Health…,1
29,Chasing #mclarenp1 in Malibu today.________________________________________ : credit: @user,10
30,Sunday afternoon at home! Drinking good wine and enjoying this incredible view to the sound of…,8
31,"#Lunch @user best #Ribs in #SanDiego (at @user in San Diego, CA)",14
32,"Here's to the start of a great adventure. Niners today, Alaska tomorrow. #grams @ Levi's Stadium",1
33,Really horrible seats for a really awful Sunday afternoon! Life is really bad #soundersfc.…,16
34,"Enjoy your last days of summer! Clearly, mauricethewhale is enjoying his! #ladykiller…",2
35,Surprised everyone by actually surviving a weekend in the wild (however still came close to…,14
