,text,label
0,“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,2
1,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs,0
2,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,1
3,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",0
4,it's pretty depressing when u hit pan on ur favourite highlighter,3
5,@user but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,0
6,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,3
7,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,1
8,@user broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,0
9,@user Look at those teef! #growl,0
10,@user @user USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke,0
11,#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @user headquarters demanding Pak to stop exporting #terror into India,3
12,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.,0
13,What a fucking muppet.  @user  #stalker.,0
14,Autocorrect changes ''em' to 'me' which I resent greatly,0
15,@user I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.,0
16,@user Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.,0
17,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,2
18,@user Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,2
19,@user @user @user Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully,0
20,Love is when all your happiness and all your sadness and all your feelings are dependent on another person.,2
21,"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",3
22,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway",0
23,@user The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.,0
24,@user @user nah way that's horrible,0
25,@user I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !,0
26,angel delight is my everything,1
27,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,0
28,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,1
29,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage,0
30,Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK,1
31,"Jorge deserves it, honestly. He's weak.  #90dayfiance",0
32,@user 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;),0
33,@user @user ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer,1
34,"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",0
35,Manchester derby at home,1
36,"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern",0
37,her; i want a playful relationship\nme; *kicks her off the couch*,1
38,Romero is fucking dreadful like seriously my 11 month old is better than him.,0
39,"@user It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.",0
40,@user oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,3
41,so gutted i dropped one of my earrings down the sink at school,3
42,"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.",1
