,text,label
0,seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,1
1,"look for the girl with the broken smile, ask her if she wants to stay while, and she will be loved. 💕🎵",0
2,Now I remember why I buy books online @user #servicewithasmile,1
3,@user @user So is he banded from wearing the clothes?  #Karma,1
4,Just found out there are Etch A Sketch apps.  #oldschool #notoldschool,1
5,"Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!",1
6,@user on stage at #flzjingleball at the @user in #Tampa #iheartradio,0
7,You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,1
8,Halfway thorough my workday ... Woooo,1
9,Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,1
10,I forked node!  Get ready for the future.  (Where's my interviews),0
11,"@user @user @user @user I'm off to visit great-nephew very ill, only 20  fair",0
12,"If his Twitter account is any sign, then this book looks to be a must read  id rather read twilight",1
13,Nicholas Sparks has been manipulating women to believe that guys (in reality) are as sensitive as the male characters in his books.,1
14,@user Can U use Smartphone?||http://t.co/Q2WB7riAvK|SmartPhone APP PAYS you!|See-http://t.co/RDlRuGN0iE |Go 2:,0
15,"When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.",0
16,.@CelticOwlWisdom Alert the media! Some guy on twitter has un-cited proof that evolution is wrong! Let's get his Nobel prize ready!,1
17,Shameless' accounting firms make vast sums advising rich on how to rip off taxpayers - accounting chief|http://t.co/9BSDuJAKXb <,0
18,🙀😱🙀😱🙀😱 #POPCORN!!!!!! 😂🎅😂🎅😂🔫🔫 bringing this at movie tuesday night!!,1
19,Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead,0
20,Need to get back in to college..  #feeling #this,0
21,No. Its actually not Friday. Today we proudly present ☆ Sunday~!☆ So... GO ENJOY YOUR SUNDAY.,0
22,Thank god she doesn't get me to do this anymore!!! ellielippitt #barber  #hairdresser #blondie...,0
23,@user lol how and what is a cthulhu ?? Funny autocorrect so helpful,1
24,I refuse to be weak... #workout #motivation #fitfam,0
25,Why YES! Of course I use  a lot in my day....because violence is illegal.,1
26,@user @user @user no duh. ? Is will owners fire Goodell for it? My guess he gets a raise  #GoodellMustGo,1
27,I hate plane rides but I wanna go to so many different countries,1
28,Stop being the fan. And be the person blowing minds.,1
